college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,1,,Professional Elective I,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,1,P24MA101,Statistical Methods for Engineers,4,FC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,1,P24CN101,Modern Construction Materials,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,1,P24CN102,Project Formulation and Appraisal,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,1,P24CN103,Construction Equipment and Management,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,1,P24RM101,Research Methodology and IPR,2,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,1,P24CN104,Advanced Construction Engineering and Experimental Techniques Laboratory,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,1,P24CN105,Technical Seminar,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,2,,Professional Elective II,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,2,,Professional Elective III,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,2,P24CN201,Advanced Construction Techniques,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,2,P24CN202,"Construction Planning, Scheduling and Control",3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,2,P24CN203,Civil Contract and Regulations,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,2,P24CN204,Construction Management Studio Laboratory,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,2,P24CN205,Statistical Analysis for Construction Engineers Laboratory,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,3,,Professional Elective IV,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,3,,Professional Elective V,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,3,,Open Elective,3,OEC,Open Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,3,P24CN301,Practical Training (4 Weeks),2,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,3,P24CN302,Project Work I,6,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,4,P24CN401,Project Work II,12,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,,P24CN501,Advanced Concrete Technology,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,,P24CN502,Human Resources Management in Construction,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,,P24CN503,Construction Project Management,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Construction Engineering and Management,CEM-PG,R2024,,P24CN504,Sustainable Construction,3,,Professional Elective,option
