college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24IP101,Induction Programme - Universal Human Values,0,VAC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24EN101,Technical English,2,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24MA101,Mathematical foundation for Engineers,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24PH101,Physics for Civil Engineering -I,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24CY101,Chemistry for Civil Engineering,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24TA101,Heritage of Tamils,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24CS101,Programming in C,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24EE101,"Basics of Electrical ,Electronics & instrumentation Engineering",4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24BS101,Physics and Chemistry Laboratory,2,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24TP110,Communication Skills Lab I,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,1,U24ED111,Design Thinking -Building Innovation and Solutioning Mindset,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24CE202,Value Added Course - I (Biology for Civil Engineers),0,VAC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24EN201,Professional English,2,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24MA201,Probability and Statistics for Civil Engineers,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24PH201,Physics for Civil Engineering II,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24CE201,Elements of Civil Engineering and Mechanics,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24TA201,Tamils and Technology,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24CS201,Python Programming,4.5,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24CE207,Engineering Graphics for Civil Engineering,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24ME101,Engineering Practices Laboratory,2,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24TP210,Communication Skills Lab II,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,2,U24ED211,Design Thinking- Decoding Innovation Opportunity,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,3,U24MA301,Transforms and Partial Differential Equations and Numerical methods,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,3,U24CY201,Green and Sustainable Chemistry,2,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,3,U24CE302,Fluid Mechanics,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,3,U24CE303,Strength of Materials I,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,3,U24CE304,Engineering Surveying,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,3,U24CE305,Water Supply Engineering,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,3,U24TP310,General Aptitude & Logical Reasoning,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,3,U24ED311,Innovation tool kits,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,3,U24RM312,Research Overview,0.5,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Civil Engineering,CIVIL,R2024,3,U24MC313,Foreign Language ( Japanese/French),0,MC,,core
