college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,1,P24MA102,Applied Probability and Statistics for Computer Science Engineers,4,FC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,1,P24CS101,Advanced Data Structures and Algorithms,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,1,P24CS103,Network Technologies,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,1,P24CS104,Principles of Programming Languages,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,1,P24RM101,Research Methodology and IPR,2,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,1,P24AC101,Audit Course - I Disaster Management,0,AC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,1,P24CS102,Database Practices,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,1,P24CS105,Advanced Data Structures and Algorithms Laboratory,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,2,,Professional Elective I,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,2,,Professional Elective II,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,2,P24CS204,Advanced Software Engineering,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,2,P24AC201,Audit Course - II,0,AC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,2,P24CS201,Machine Learning,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science and Engineering,CSE-PG,R2024,2,P24CS202,Internet of Things,4,PCC,,core
