college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24EN101,Technical English,2,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24MA101,Mathematical Foundation for Engineers,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24PH102,Physics for Information Science I,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24CY102,Chemistry for Information Science,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24TA101,Heritage of Tamils,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24CS101,Programming in C,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24CE102,Engineering Graphics and Computer Application,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24ME101,Engineering Practices Laboratory,2,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24TP110,Communication Skills Laboratory - I,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24ED111,Design Thinking - Building Innovation and Solutioning Mindset,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,1,U24IP101,Induction Program - Universal Human Values,0,VAC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24EN201,Professional English,2,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24MA202,Probability and Statistics,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24PH202,Physics for Information Science II,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24TA201,Tamils and Technology,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24EC202,Basics of Electrical and Electronics Engineering,3,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24CY201,Green and Sustainable Chemistry,2,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24CS201,Python Programming,4.5,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24BS101,Physics and Chemistry Laboratory,2,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24TP210,Communication Skills Laboratory - II,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24ED211,Design Thinking - Decoding Innovation Opportunity,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,2,U24IP201,Value Added Course II (Biology for Engineers),0,VAC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24MA302,Discrete Mathematics,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24CS302,Data Structures,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24CS303,Object Oriented Programming,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24MC313,Foreign Language (Japanese / French / German),0,MC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24CS301,Foundations of Data Science,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24CS306,Digital Logic Design,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24CS304,Data Structures Laboratory,1.5,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24CS305,Object Oriented Programming Laboratory,1.5,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24TP310,General Aptitude and Logical Reasoning,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24ED311,Innovation Tool Kits,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,3,U24RM314,Introduction to Problem Solving,0.5,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24MA401,Linear Algebra and Numerical Methods,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24CS401,Operating Systems,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24CS402,Database Management Systems,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24CS403,Computer Organization and Computer Architecture,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24CS404,Design and Analysis of Algorithms,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24CS405,Artificial Intelligence,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24MC413,Indological Studies,0,MC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24CS406,Operating Systems Laboratory,1.5,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24CS407,Database Management Systems Laboratory,1.5,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24TP410,Critical and Creative Thinking Skills,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24ED411,Idea and Simulation Lab,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,4,U24RM414,Hypothesis,0.5,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,,Professional Elective I,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,,Professional Elective II,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,,Professional Elective III,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,,Open Elective I,3,OEC,Open Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,U24CS501,Computer Networks,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,U24CS503,Theory of Computation,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,U24MC513,"Fitness for Life-Yoga, Food nutrition",0,MC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,U24CS502,Network Laboratory,1.5,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,U24TP510,Analytical and Logical Thinking Skills,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,U24ME507,Summer Internship,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,U24RM514,Domain Specific Experiments / Methodology / Algorithms,1,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,5,U24ED511,Prototype and Market Valuation,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,6,,Open Elective II,3,OEC,Open Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,6,,Professional Elective IV,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,6,,Professional Elective V,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,6,U24CS603,Embedded Systems and IoT,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,6,U24MC613,Integrated Disaster Management,0,MC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,6,U24CS602,Compiler Design,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,6,U24CS601,Object Oriented Software Engineering,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,6,U24RM614,Technical Writing and Research Ethics,0.5,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,6,U24TP610,Employability Skills and Problem Solving Techniques,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,6,U24ED611,Business Management - Go To Market & Start-up Journey,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,7,,Professional Elective VI,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,7,,Open Elective III,3,OEC,Open Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,7,U24MG701,Engineering Economics and Finance Management,3,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,7,U24CS702,Distributed Systems,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,7,U24MC713,Constitution of India,0,MC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,7,U24CS701,Cryptography and Cyber Security,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,7,U24CS704,Summer Internship,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,7,U24RM714,"Data Collection, Analysis and Interpretation",0.5,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Computer Science Engineering,CSE,R2024,8,U24CS801,Project Work,8,EEC,,core
