college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24IP101,Induction Program-Universal Human values,0,VAC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24EN101,Technical English,2,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24MA101,Mathematical Foundation for Engineers,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24PH103,Physics for Electronics Engineering -1,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24CY103,Chemistry for Electrical and Electronics Engineering,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24TA101,Heritage of Tamils,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24EE103,Basics of Electrical Engineering,3,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24CS101,Programming in C,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24BS101,Physics and Chemistry Laboratory,2,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24TP110,Communication Skills Lab I,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,1,U24ED111,Design Thinking -Building Innovation & Solutioning Mindset,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24IP201,Value Added Course – II (Biology for Engineers),0,VAC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24EN201,Professional English,2,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24MA203,Differential Equations and Transforms,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24PH203,Physics for Electronics Engineering -II,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24CY201,Green and Sustainability Chemistry,2,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24TA201,Tamils and Technology,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24CS201,Python Programming,4.5,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24CE203,Engineering Graphics for Electronics and Communication Engineering,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24ME101,Engineering Practices Laboratory,2,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24TP210,Communication Skills Lab II,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,2,U24ED211,Decoding Innovation Opportunity,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,3,U24MA303,Random Process and Linear Algebra,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,3,U24EC301,Signals and Systems,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,3,U24EC302,Basic Electric Circuit Analysis,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,3,U24EC303,Electronic Devices and Circuits,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,3,U24EC304,Digital System Design,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,3,U24AD302,Oops and Data Structures Design,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,3,U24TP310,General Aptitude & Logical Reasoning,1,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,3,U24ED311,Design Thinking Innovation tool kits,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,3,U24RM312,Introduction to Problem Solving,0.5,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,3,U24MC313,Foreign Language (Japanese/French),0,MC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,4,U24MA402,Linear Algebra and Numerical Methods,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,4,U24EC401,Analog and Digital Communication,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,4,U24EC402,Electromagnetic fields,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Electronics and Communication Engineering,ECE,R2024,4,U24EC403,Linear Integrated Circuits,3,PCC,,core
