college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,1,P24EY101,Energy Management and Environmental Benefits,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,1,P24EY102,Fluid Mechanics and Heat Transfer,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,1,P24EY103,Instrumentation for Energy Systems,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,1,P24EY104,Renewable Energy Systems,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,1,P24EY105,Thermodynamic Analysis of Energy Systems,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,1,P24RM101,Research Methodology and IPR,2,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,1,P24EY106,Renewable Energy Laboratory,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,1,P24EY107,Applied Thermal Engineering Laboratory,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,2,,Professional Elective I,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,2,,Professional Elective II,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,2,P24EY201,Energy Conservation in Industrial Utilities,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,2,P24EY202,Computational Fluid Dynamics for Energy Systems,4,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,2,P24EY203,Energy Efficient Buildings Design,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,2,P24EY204,Energy Conservation Laboratory,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,2,P24EY205,Analysis and Simulation Laboratory for Energy Engineering,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,2,P24EY206,Mini Project with Seminar,2,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,3,,Professional Elective III,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,3,,Professional Elective IV,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Energy Engineering,EE-PG,R2024,3,,Professional Elective V,3,PEC,Professional Elective,elective
