college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,1,P24MA104,Applied Mathematics for Embedded System Technologies,4,FC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,1,P24RM101,Research Methodology and IPR,2,RMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,1,P24EM103,Design of Embedded Systems,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,1,P24EM104,Software for Embedded Systems,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,1,P24EM105,Microcontroller Based System Design,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,1,P24EM106,VLSI Design and Reconfigurable Architecture,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,1,P24EM107,Embedded System Laboratory - I,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,1,P24EM108,Embedded Programming Laboratory - I,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,2,,Professional Elective I,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,2,,Professional Elective II,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,2,P24EM201,Real Time Operating System,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,2,P24EM202,Embedded System Networking,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,2,P24EM203,Embedded Control for Electric Drives,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,2,P24EM204,IoT for Smart Systems,3,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,2,P24EM205,Embedded System Laboratory - II,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,2,P24EM206,Embedded Programming Laboratory - II,2,PCC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,3,,Professional Elective III,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,3,,Professional Elective IV,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,3,,Professional Elective V,3,PEC,Professional Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,3,,Open Elective,3,OEC,Open Elective,elective
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,3,P24EM301,Project Work I,6,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,4,P24EM401,Project Work II,12,EEC,,core
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM111,Wireless and Mobile Communication,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM112,Virtual Instrumentation,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM113,Embedded Processor Development,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM114,Automotive Embedded System,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM115,Intelligent Control and Automation,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM116,Unmanned Aerial Vehicle,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM117,DSP Based System Design,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM118,Machine Learning and Deep Learning,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM119,Computer Vision,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM120,Multimedia Communication,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM121,Embedded Networking and Automation of Electrical System,3,,Professional Elective,option
Meenakshi Sundararajan Engineering College,MSEC,Embedded System Technologies,EST-PG,R2024,,P24EM122,Smart System Design,3,,Professional Elective,option
