college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24IP101,Induction Program- Universal Human values,0,VAC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24EN101,Technical English,2,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24MA101,Mathematical Foundation for Engineers,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24PH102,Physics for Information Science I,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24CY102,Chemistry for Information Science,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24TA101,Heritage of Tamils,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24CS101,Programming in C,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24CE102,Engineering Graphics and Computer Applications,4,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24ME101,Engineering Practices Laboratory,2,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24TP110,Communication Skills Lab I,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,1,U24ED111,Design Thinking - Building Innovation & Solutioning Mindset,0.5,EDIC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,2,U24IP201,Value Added Course – II (Biology for Engineers),0,VAC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,2,U24EN201,Professional English,2,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,2,U24MA202,Probability and Statistics,4,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,2,U24PH202,Physics for Information Science II,3,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,2,U24TA201,Tamils and Technology,1,HSMC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,2,U24EC202,Basics of Electrical and Electronics Engineering,3,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,2,U24CY201,Green and Sustainable Chemistry,2,BSC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,2,U24CS201,Python Programming,4.5,ESC,,core
Meenakshi Sundararajan Engineering College,MSEC,Information Technology,IT,R2024,2,U24BS101,Physics and Chemistry Laboratory,2,BSC,,core
