college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,1,HS23111,Communicative English,3,HSMC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,1,CY23111,Engineering Chemistry,3,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,1,MA23111,Matrices and Calculus,4,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,1,AD23111,Python for Data Science,3,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,1,GE23112,Heritage of Tamils,0,HSMC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,1,GE23131,Engineering Graphics,4,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,1,CY23111,Chemistry Laboratory,1,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,1,AD23121,Python for Data Science Laboratory,1,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,2,HS23211,Professional English,2,HSMC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,2,PH23212,Materials Science for Biotechnologists,3,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,2,MA23211,Statistics and Numerical Methods,4,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,2,GE23211,Basic Electrical and Electronics Engineering,3,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,2,BT23211,Bioorganic Chemistry,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,2,GE23213,Tamils and Technology,0,HSMC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,2,PH23221,Physics Laboratory,1,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,2,GE23222,Engineering Pratices Laboratory,1,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,2,GE23221,Communication Laboratory / Foreign Language,1,EEC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,3,GE23311,Environmental Science and Sustainability,2,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,3,MA23313,Transforms and Partical Differential Equations,4,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,3,BT23311,Chemical Process Calculations in Biotechnology,3,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,3,BT23312,Biochemistry,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,3,BT2333,Cell and Microbiology,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,3,BT23314,Unit Operations,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,3,BT23321,Biochemistry,2,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,3,BT23322,Cell and Microbiology Laboratory,2,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,3,,Industrial Oriented Course I**,1,EEC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,4,BT23411,Biochemical Thermodynamics,3,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,4,BT23412,Fluid Flow and Heat Transfer Operations,3,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,4,BT23413,Analytical Techniques in Biotechnology,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,4,BT23414,Basic Industrial Biotechnology,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,4,BT23415,Industrial Enzymology,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,4,BT23416,Molecular Biology,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,4,BT23421,Analytical Instrumentation Laboratory,2,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,4,BT23422,Molecular Biology Laboratory,2,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,4,,Industry Oriented Course II*,3#,,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,5,BT23511,Bioprocess Engineering,4,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,5,BT23513,Mass Transfer Operations,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,5,BT23512,Genetic Engineering,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,5,,Professional Elective I,3,PEC,Professional,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,5,,Professional Elective II,3,PEC,Professional,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,5,,Mandatory Course I,0,MC,Mandatory,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,5,BT23521,Bioprocess Engineering Laboratory,2,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,5,BT23522,Genetic Engineering Laboratory,2,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,5,,Industry Oriented Course III**,1,EEC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,6,BT23611,Downstream Processing,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,6,BT23612,Immunology,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,6,,Professional Elective III,3,PEC,Professional,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,6,,Professional Elective IV,3,PEC,Professional,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,6,,Open Elective-I*,3,OEC,Open,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,6,,Open Elective-II*,3,OEC,Open,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,6,,Mandatory Course II,0,MC,Mandatory,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,6,BT23621,Downstream Processing Laboratory,2,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,6,BT23622,Immunology Laboratory,2,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,6,BT23623,Mini Project,2,EEC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,7,GE23711,Human Values and Ethics,2,HMSC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,7,,Elective Management,3,HMSC,Management,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,7,BT23711,Bioinformatics,3,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,7,,Professional Elective V,3,PEC,Professional,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,7,,Professional Elective VI,3,PEC,Professional,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,7,BT23721,Bioinformatics Laboratory,2,PCC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,7,BT23722,Internship / Certification Course,2,EEC,,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,8,,Open Elective-III*,3,OEC,Open,core
Rajalakshmi Institute of Technology,RIT,B.Tech Biotechnology,BT,R2023,8,BT23821,Project Work,10,EEC,,core
