college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,1,HS23111,Communicative English,3,HSMC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,1,MA23111,Matrices and Calculus,4,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,1,GE23114,Electrical Electronics and Instrumentation Engineering,3,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,1,GE23111,Problem Solving and C Programming,3,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,1,PH23113,Materials Science,3,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,1,GE23112,Heritage of Tamils,0,HSMC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,1,PH23121,Physics Laboratory,1,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,1,GE23121,Problem Solving and C Programming Laboratory,1,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,1,GE23122,Engineering Practices Laboratory,1,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,1,GE23123,Basic Electrical and Electronics Engineering Laboratory,1,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,2,HS23211,Professional English,2,HSMC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,2,CY23211,Engineering Chemistry,3,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,2,MA23211,Statistics and Numerical Methods,4,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,2,AD23211,Python for Data Science,3,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,2,GE23213,Tamils and Technology,0,HSMC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,2,GE23231,Engineering Graphics,4,ESC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,2,CY23221,Chemistry Laboratory,1,BSC,,core
Rajalakshmi Institute of Technology,RIT,B.E Mechanical Engineering,ME,R2023,2,AD23221,Python for Data Science Laboratory,1,ESC,,core
