college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24BSMA101,Matrices and Calculus,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24HSEN101,Communicative English,3,HS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24BSPH101,Engineering Physics,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24BSCY101,Engineering Chemistry,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24ESCS101,Problem Solving and Programming in C,3,ES,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24ESGE101,Engineering Graphics,3,ES,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24HSTA101,Heritage of Tamils,1,HS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24BSPL101,Physics and Chemistry Laboratory,2,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24ESPL101,Programming in C Laboratory,1,ES,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24ESID101,Ideation Engineering Lab - I,1,EEC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,1,24ENTP101,Functional Life Skills,1,EEC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,2,24BSMA201,Discrete Structures,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,2,24HSEN201,Professional English,2,HS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,2,24BSPH203,Physics for Information Science,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,2,24BSCY201,Chemistry for Environment and Sustainability,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,2,24HSTA201,Tamils and Technology,1,HS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,2,24HSNC201,"NCC Course Level 1 (Optional, NCC Cadets only)",0,MC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,2,24AIPT201,Python for Data Science Laboratory with Theory,3,PC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,2,24ESGE102,Engineering Practices Laboratory,2,ES,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,2,24ESID201,Ideation Engineering Lab - II,1,EEC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,2,24ENTP201,Digital Dynamics,1,EEC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24BSMA301,Statistics and Linear Algebra,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24ITPC301,Data Structures and Algorithms,3,PC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24ESCI301,Basic Electronics and Communication Engineering,3,ES,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24CIPC301,Introduction to Internet of Things,3,PC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24CIPT301,Digital Design and Computer Organisation System Laboratory with Theory,3,PC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24HSMC301,Universal Human Values - II Understanding Harmony,3,HS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24HSNC301,"NCC Course Level 2 (Optional, NCC Cadets only)",0,MC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24ITPL301,Data Structures and Algorithms Laboratory,2,PC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24CIPL301,IoT and Embedded Systems Laboratory,2,PC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24CITP301,Aptitude Skills - I,1,EEC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,3,24CIID301,Innovative Design Lab - I,1,EEC,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,4,24BSMA402,Probability and Queuing Theory,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Computer Science and Engineering (Internet of Things),CSE-IOT,R2024,4,24SCPT401,Operating System in Kali Linux Lab with Theory,3,PC,,core
