college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,1,24BSMA101,Engineering Mathematics-I,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,1,24HSEN101,Technical English-I,3,HS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,1,24BSPH101,Engineering Physics,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,1,24BSCY101,Engineering Chemistry,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,1,24ESCS101,Problem Solving and Programming in C,3,ES,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,1,24ESGE101,Engineering Graphics,3,ES,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,1,24BSPL101,Physics and Chemistry Laboratory,1.5,BS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,1,24ESPL101,Programming in C Laboratory,1.5,ES,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,1,24TPHS101,Skill Enhancement,1,TP,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,1,24HSMG101,Personal Values,0,HS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,2,24BSMA201,Engineering Mathematics-II,4,BS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,2,24HSEN201,Technical English-II,3,HS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,2,24ESIT201,Python Programming with lab,4,ES,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,2,24BSPH201,Physics of Electronic Devices,3,BS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,2,24ECPC201,Circuit Analysis,3,PC,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,2,24ESGE201,Engineering Practices Laboratory,1.5,ES,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,2,24ECPL201,Circuits and Devices Laboratory,1.5,PL,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,2,24ECTE201,PCB Design,1,TE,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,2,24TPHS201,Skill Enhancement,1,TP,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,2,24HSMG201,Interpersonal Values,0,HS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,3,24ECPC301,Digital Electronics,3,PC,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,3,24ECPC302,Electromagnetic Fields & Waveguides,4,PC,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,3,24ECPC303,Signals and Systems,4,PC,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,3,24ECPW301,R Programming with Laboratory,4,PW,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,3,24BSMA301,"Linear Algebra, Partial Differential Equations and Transforms",4,BS,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,3,24ECPL301,Digital Circuits Laboratory,1.5,PL,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,3,24ECTE301,Live-in-Lab - I,1,TE,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,3,24ECTP301,Skill Enhancement,1,TP,,core
Sri Sairam Engineering College,SAIRAM,Electronics and Communication Engineering,ECE,R2024,3,24MGMC301,Constitution of India,0,MC,,core
