college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,1,21MAB101T,Calculus and Linear Algebra,4,B,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,1,21LEH101T,Communicative English,3,H,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,1,21LEM101T,Constitution of India,0,M,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,1,21EEE101T,Electrical and Electronics Engineering,4,S,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,1,21MES102L,Engineering Graphics and Design,2,S,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,1,21CYM101T,Environmental Science,0,M,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,1,21PDM101L,Professional Skills and Practices,0,M,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,1,21CSS101J,Programming for Problem Solving,4,S,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,1,21PYB102J,Semiconductor Physics and Computational Methods,5,B,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,2,21MAB102T,Advanced Calculus and Complex Analysis,4,C,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,2,21MES101L,Basic Civil and Mechanical Workshop,2, H,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,2,21CYB101T,Chemistry,5,B,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,2,21LEH102T,Chinese,3,H,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,2,21LEH103T,French,3,H,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,2,21PDM102L,General Aptitude,0,M,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,2,21LEH104T,German,3,H,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,2,21BTB102T,Introduction to Computational Biology,2,B,,core
SRM Institute of Science and Technology,SRM,Artificial Intelligence and Machine Learning,AIML,R2021,2,21LEH105T,Japanese,3,H,,core
