college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,1,HS22151,Tamil language and Heritage of Ancient Tamil Society,1.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,1,HS22152,Communicative English,3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,1,MA22151,Applied Mathematics I,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,1,PH22151,Applied Physics,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,1,CY22151,Applied Chemistry,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,1,EE22151,Basic Electrical and Electronics Engineering,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,1,IT22101,Programming for Problem Solving,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,1,PH22161,Physics Laboratory,1.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,1,EE22111,Basic Electrical and Electronics Engineering Laboratory,1.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,1,IT22111,Programming for Problem Solving Laboratory,1.5,ES,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,2,HS22251,Science and Technology in Ancient Tamil Society,2.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,2,HS22252,Technical English,3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,2,MA22251,Applied Mathematics II,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,2,ME22251,Technical Drawing,2.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,2,MA22253,Mathematics for Data Science,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,2,AD22201,Data Structures and Algorithm Analysis,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,2,AD22202,Object Oriented Paradigm and Programming,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,2,AD22211,Data Structures and Algorithm Analysis Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,2,AD22212,Object Oriented Paradigm and Programming Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,3,MA22356,Statistics for Data Science,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,3,AD22301,Artificial Intelligence,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,3,CS22301,Database Management Systems,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,3,CS22302,Datamining and Data warehousing,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,3,CS22201,Python For Data Science,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,3,CS22202,Digital Principles and System Design,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,3,CS22311,Database Management Systems Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,3,AD22311,Artificial Intelligence Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,4,MA22455,Queuing Theory and Optimization,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,4,MA22456,Mathematics for Machine Learning,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,4,CS22401,Operating Systems,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,4,CS22402,Machine Learning Techniques,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,4,AD22401,Web Development and Analytics,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Artificial Intelligence and Data Science,ADS,R2022,4,GE22451,Environmental Sciences and Sustainability,3.0,BS,,core
