college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,1.0,HS22151,TamilLanguageandHeritageof Ancient TamilSociety (CommontoallBranches),1.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,1.0,HS22152,CommunicativeEnglish (CommontoallBranches),3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,1.0,MA22151,AppliedMathematics I (CommontoallBranches exceptMR),4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,1.0,PH22152,EngineeringPhysics,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,1.0,CY22152,"EngineeringChemistry (CommontoAE,AM,ME,MN)",3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,1.0,BT22101,Biologyfor Engineers,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,1.0,AE22101,ComputerAidedEngineering Drawing,4.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,1.0,CY22161,"ChemistryLaboratory (CommontoallBranches exceptAD,CS, IT)",1.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,1.0,ME22162,"BasicMechanical Engineering Laboratory (CommontoAE, AM,BT, CH)",1.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,2.0,HS22251,ScienceandTechnology in Ancient Tamil Society (CommontoallBranches),2.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,2.0,HS22252,TechnicalEnglish (CommontoallBranches),3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,2.0,MA22251,AppliedMathematics II (Commontoall Branches exceptMR) MA22151,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,2.0,PH22253,"EngineeringMaterials (CommontoAE,AM, ME,MN)",3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,2.0,EE22151,"BasicElectrical and Electronics Engineering (CommontoallBranches except CH,EE,EC)",3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,2.0,AE22201,ProductionProcesses,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,2.0,IT22251,"ComputerProgrammingand Practice(CommontoAE, AM,BT, CE,CH)",3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,2.0,PH22161,Physics Laboratory (CommontoallBranches exceptBT),1.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,2.0,EE22111,BasicElectricalandElectronics Engineering Laboratory (CommontoallBranches exceptEC),1.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,3.0,AE22301,"BasicandApplied Thermodynamics (Commonto AE,AM)",4.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,3.0,AE22302,"FluidMechanicsand Hydraulic Machines (CommontoAE, AM)",3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,3.0,AE22303,"ManufacturingTechnology andSystems (CommontoAE, AM)",3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,3.0,MA22355,"PartialDifferential Equations andNumerical Methods (CommontoAE,AM, BT, MN)",4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,3.0,AE22308,AutomotiveFuels and Lubricants: Theory andPractices,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,3.0,AE22309,AutomotiveEngines: Theory andPractices,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,3.0,AE22311,"FluidMechanicsand HydraulicMachines Laboratory(CommontoAE, AM)",1.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,3.0,AE22312,ProductionTechnology Laboratory,1.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,4.0,AE22401,AppliedMechanics,4.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,4.0,AE22402,"AutomotiveElectrical, Electronics andMicrocontroller Systems (CommontoAE,AM)",3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,4.0,AE22403,"ThermalEngineeringandHeat Transfer (CommontoAE, AM) AE22301",4.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,4.0,AE22408,"AutomotiveChassis Components: Theoryand Practices (CommontoAE, AM)",4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Automobile Engineering,AE,R2022,4.0,AE22409,"MechanicsofSolids: Theory andPractices (CommontoAE, AM)",4.0,ES,,core
