college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,1,HS22151,Tamil Language and Heritage of Ancient Tamil Society,1,HS,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,1,HS22152,Communicative English,3,HS,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,1,MA22151,Applied Mathematics I,4,BS,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,1,PH22153,Technical Physics,3,BS,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,1,CY22153,Technical Chemistry,3,BS,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,1,ME22151,Engineering Graphics,3,ES,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,1,ME22152,Basic Mechanical Engineering,3,ES,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,1,BT22101,Biology for Engineers,3,ES,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,1,CY22161,Chemistry Laboratory,1,BS,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,1,ME22162,Basic Mechanical Engineering Laboratory,1,ES,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,2,HS22251,Science and Technology in Ancient Tamil Society,2,HS,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,2,HS22252,Technical English,3,HS,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,2,MA22251,Applied Mathematics II,4,BS,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,2,PH22251,Physics for Biotechnologists,3,BS,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,2,EE22151,Basic Electrical and Electronics Engineering,3,ES,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,2,IT22251,Computer Programming and Practice,3,ES,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,2,BT22201,Bioorganic Chemistry,3,PC,,core
Sri Venkateswara College of Engineering,SVCE,Biotechnology,BT,R2022,2,EE22111,Basic Electrical and Electronics Engineering Laboratory,1,ES,,core
