college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,1,HS22151,Tamil language and Heritage of Ancient Tamil Society,1,HS,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,1,HS22152,Communicative English,3,HS,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,1,MA22151,Applied Mathematics I,4,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,1,PH22151,Applied Physics,3,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,1,CY22151,Applied Chemistry,3,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,1,EE22152,Basic Electrical Engineering,3,ES,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,1,IT22101,Programming for Problem Solving,3,ES,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,1,PH22161,Physics Laboratory,1,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,1,ME22161,Basic Civil and Mechanical Engineering Laboratory,1,ES,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,1,IT22111,Programming for Problem Solving Laboratory,1.5,ES,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,2,HS22251,Science and Technology in Ancient Tamil Society,2,HS,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,2,HS22252,Technical English,3,HS,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,2,MA22251,Applied Mathematics II,4,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,2,PH22252,Physics of Materials,3,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electronics and Communication Engineering,ECE,R2022,2,EC22201,Electron Devices,3,PC,,core
