college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,1,HS22151,Tamil language and Heritage of Ancient Tamil Society,1.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,1,HS22152,Communicative English,3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,1,MA22151,Applied Mathematics I,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,1,PH22151,Applied Physics,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,1,CY22151,Applied Chemistry,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,1,CM22151,Basic Civil and Mechanical Engineering,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,1,IT22101,Programming for Problem Solving,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,1,EE22111,Basic Electrical and Electronics Engineering Laboratory,1.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,1,ME22161,Basic Civil and Mechanical Engineering Laboratory,1.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,1,IT22111,Programming for Problem Solving Laboratory,1.5,ES,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,2,HS22251,Science and Technology in Ancient Tamil Society,2.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,2,HS22252,Technical English,3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,2,MA22251,Applied Mathematics II,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,2,PH22252,Physics of Materials,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,2,ME22252,Fundamentals of Engineering Graphics,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,2,EE22201,Electric Circuit Analysis,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,2,PH22161,Physics Laboratory,1.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,2,CY22161,Chemistry Laboratory,1.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,2,EE22211,Electric Circuits Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,3,MA22354,Mathematics For Electrical Engineers,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,3,EE22301,Electrical Machines I,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,3,EE22302,Electric Power System,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,3,EE22303,Electromagnetic Theory,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,3,EE22308,Digital Logic Circuits: Theory and Practices,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,3,EE22309,Electron Devices and Circuits: Theory and Practices,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,3,EE22311,Electrical Machines I Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,4,MA22452,Numerical Methods,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,4,GE22451,Environmental Sciences and Sustainability,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,4,EE22401,Analog Electronics,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,4,EE22402,Control Systems,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,4,EE22403,Electrical Machines II,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,4,EE22404,Measurement and Instrumentation,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,4,EE22411,Analog Electronics Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,4,EE22412,Control Systems and Instrumentation Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,4,EE22413,Electrical Machines II Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,5,EE22501,Microcontrollers and Programming,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,5,EE22502,Power Electronics,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,5,EE22503,Power System Analysis,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,5,IT22551,Programming and Data Structures,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,5,,Professional Elective I,3.0,PE,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,5,,Open Elective I,3.0,OE,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,5,EE22511,Microcontrollers and Programming Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,5,EE22512,Power Electronics Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,5,IT22561,Programming and Data Structures Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,6,EE22601,Digital Signal Processing,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,6,EE22602,Industrial Automation and Networking (Industry supported),3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,6,EE22603,Power System Operation and Control,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,6,,Professional Elective II,3.0,PE,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,6,,Open Elective II,3.0,OE,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,6,,Mandatory Courses,0.0,MC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,6,HS22511,Interview and Career Skills Laboratory,2.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,6,EE22611,Industrial Automation Laboratory,2.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,6,EE22612,Power System Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,7,EE22701,Protection and Switchgear,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,7,EE22708,Smart Grid: Theory and Practices,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,7,EE22709,Electric Vehicles: Theory and Practices,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,7,,Professional Elective III,3.0,PE,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,7,,Professional Elective IV,3.0,PE,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,7,EE22711,Mini Project,2.0,EEC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,7,EE22712,Industrial Training/Internship,2.0,EEC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,8,,Professional Elective V,3.0,PE,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,8,,Professional Elective VI,3.0,PE,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,8,EE22811,Project work,8.0,EEC,,core
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,,SE22001,Financial Statement Analysis,3.0,Special Electives,Programme Elective,option
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,,SE22002,Introduction to Securities Market,3.0,Special Electives,Programme Elective,option
Sri Venkateswara College of Engineering,SVCE,Electrical and Electronics Engineering,EEE,R2022,,SE22003,Option Trading Strategies,3.0,Special Electives,Programme Elective,option
