college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,1.0,HS22151,Tamil Language and Heritage of Ancient Tamil Society,1.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,1.0,HS22152,Communicative English,3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,1.0,MA22151,Applied Mathematics – I,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,1.0,PH22152,Engineering Physics,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,1.0,CY22152,Engineering Chemistry,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,1.0,CS22151,Programming in C,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,1.0,ME22101,Engineering drawing,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,1.0,PH22161,Physics Laboratory,1.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,1.0,CY22161,Chemistry Laboratory,1.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,1.0,CS22161,Programming in C Laboratory,1.5,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,2.0,HS22251,Science and Technology in Ancient Tamil Society,2.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,2.0,HS22252,Technical English,3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,2.0,MA22251,Applied Mathematics – II,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,2.0,PH22253,Engineering Materials,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,2.0,ME22201,Engineering Mechanics,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,2.0,EE22151,Basic Electrical and Electronics Engineering,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,2.0,ME22202,Manufacturing Processes,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,2.0,ME22211,Production Drawing Laboratory,2.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,2.0,ME22212,Manufacturing Processes Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,2.0,EE22111,Basic Electrical and Electronics Engineering Laboratory,1.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,3.0,MA22357,Transforms and Differential Equations,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,3.0,ME22301,Engineering Thermodynamics,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,3.0,EE22359,Electrical Drives and Control: Theory and Practices,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,3.0,ME22302,Mechanics of Materials,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,3.0,ME22303,Machine Tools Operations,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,3.0,ME22309,Industrial Metallurgy: Theory and Practices,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,3.0,ME22311,Machine Tools Operations Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,3.0,ME22312,Mechanics of Materials Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,4.0,GE22451,Environmental Sciences and Sustainability,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,4.0,ME22401,Fluid Mechanics,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,4.0,ME22402,Kinematics of Machinery,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,4.0,ME22403,Thermal Engineering ME22301,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,4.0,MN22408,Hydraulics and Pneumatics for Automation: Theory and Practices,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,4.0,ME22409,Design Thinking: Theory and Practices,2.0,EE,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,4.0,ME22411,Computer Aided Modeling Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,4.0,ME22412,Fluid and Thermal Engineering Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,4.0,ME22413,Comprehension I,1.0,EE,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,5.0,ME22501,Dynamics of Machinery,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,5.0,ME22502,Failure Analysis and Prevention,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,5.0,ME22503,Heat and Mass Transfer ME22301,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,5.0,ME22504,Machine Components Design ME22302,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,5.0,,Professional Elective I,3.0,PE,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,5.0,,Open Elective I,3.0,OE,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,5.0,ME22511,Dynamics and Vibrations Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,5.0,ME22512,"Heat Transfer, Refrigeration and Air conditioning Laboratory",1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,5.0,,Mandatory Course,0.0,MC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,6.0,ME22601,Design of Transmission systems,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,6.0,ME22602,Metrology and Quality Control: Theory and Practices,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,6.0,,Professional Elective II,3.0,PE,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,6.0,,Professional Elective III,3.0,PE,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,6.0,,Professional Elective IV,3.0,PE,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,6.0,,Open Elective II,3.0,OE,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,6.0,ME22611,MATLAB for Mechanical Engineers Laboratory,2.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,6.0,HS22511,Interview and career skills Laboratory,2.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,6.0,ME22612,Comprehension II,1.0,EE,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,7.0,ME22701,Engineering Ethics and Human Values,3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,7.0,ME22707,Digital Manufacturing: Theory and Practices,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical Engineering,ME,R2022,7.0,ME22708,Energy Conversion Techniques: Theory and Practices,3.0,PC,,core
