college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,1.0,HS22151,Tamil Language and Heritage of Ancient Tamil Society,1.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,1.0,HS22152,Communicative English,3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,1.0,MA22151,Applied Mathematics – I,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,1.0,PH22152,Engineering Physics,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,1.0,CY22152,Engineering Chemistry,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,1.0,CS22151,Programming in C,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,1.0,ME22101,Engineering drawing,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,1.0,PH22161,Physics Laboratory,1.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,1.0,CY22161,Chemistry Laboratory,1.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,1.0,CS22161,Programming in C Laboratory,1.5,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,2.0,HS22251,Science and Technology in Ancient Tamil Society,2.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,2.0,HS22252,Technical English,3.0,HS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,2.0,MA22251,Applied Mathematics – II,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,2.0,PH22253,Engineering Materials,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,2.0,ME22201,Engineering Mechanics,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,2.0,EE22151,Basic Electrical and Electronics Engineering,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,2.0,ME22211,Production Drawing Laboratory,2.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,2.0,EE22111,Basic Electrical and Electronics Engineering Laboratory,1.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,3.0,MA22355,Partial Differential Equations and Numerical Methods,4.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,3.0,MN22301,Introduction to Industrial Automation,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,3.0,ME22302,Mechanics of Materials,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,3.0,MN22302,Theory of Machines,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,3.0,MN22303,Manufacturing Technology,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,3.0,EE22359,Electrical Drives and Controls: Theory and Practices,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,3.0,ME22313,Manufacturing Technology Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,3.0,ME22314,Material Testing Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,4.0,GE22451,Environmental Science & Sustainability,3.0,BS,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,4.0,MN22401,Design of Machine Elements,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,4.0,MN22402,Fluid Mechanics and Thermal Science,4.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,4.0,MN22403,Operations Research and Management,3.0,ES,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,4.0,MN22408,Hydraulics and Pneumatics for Automation: Theory and Practices,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,4.0,MN22409,Metrology and Instrumentation: Theory and Practices,3.0,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,4.0,ME22411,Computer Aided Modelling Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Mechanical and Automation Engineering,MN,R2022,4.0,ME22412,Fluid and Thermal Engineering Laboratory,1.5,PC,,core
